contestant,age,city,state_abbr,season.x,finish,tribalChallengeWins,individualChallengeWins,totalWins,daysLasted,votesAgainst,gender,occupation,season_number,idols_found,idols_played
Rocky Reid,28,Los Angeles,CA,Fiji,12,1,NA,1,19,5,Male,Bartender,14,NA,NA
Lisi Linares,36,Los Angeles,CA,Fiji,11,9,NA,9,21,7,Female,Customer Service Rep.,14,NA,NA
Michelle Yi,23,Cincinnati,OH,Fiji,10,4,0,4,24,3,Female,Student,14,NA,NA
Edgardo Rivera,28,Miami Beach,FL,Fiji,9,9,1,10,27,5,Male,Ad Executive,14,NA,NA
Mookie Lee,25,Chicago,IL,Fiji,8,1,0,1,30,6,Male,Business Consultant,14,1,0
Alex Angarita,28,Los Angeles,CA,Fiji,7,9,1,10,33,9,Male,Attorney,14,0,1
Stacy Kimball,27,Boulder,CO,Fiji,6,12,3,15,36,4,Female,Web Producer,14,NA,NA
Boo Bernis,34,Lafayette,LA,Fiji,5,12,5,17,37,5,Male,Construction Worker,14,NA,NA
Yau-Man Chan,54,Martinez,CA,Fiji,4,4,5,9,38,9,Male,Computer Engineer,14,1,1
Cassandra Franklin,42,Los Angeles,CA,Fiji,2,12,2,14,39,5,Female,College Administrator,14,NA,NA
Dreamz Herd,25,Wilmington,NC,Fiji,2,9,3,12,39,2,Male,Cheerleading Coach,14,NA,NA
Earl Cole,35,Santa Monica,CA,Fiji,1,4,2,6,39,1,Male,Ad Executive,14,1,1
Chicken Morris,47,Marion,VA,China,16,0,NA,0,3,5,Male,Chicken Farmer,15,NA,NA
Ashley Massaro,28,East Northport,NY,China,15,0,NA,0,6,8,Female,Professional Wrestler,15,NA,NA
Leslie Nease,38,Tega Cay,SC,China,14,3,NA,3,9,6,Female,Christian Radio Host,15,NA,NA
Dave Cruser,37,Simi Valley,CA,China,13,2,NA,2,12,6,Male,Former Model,15,NA,NA
Aaron Reisberger,32,Venice,CA,China,12,5,NA,5,15,3,Male,Surfing Instructor,15,NA,NA
Sherea Lloyd,26,Atlanta,GA,China,11,4,NA,4,18,6,Female,Elementary Teacher,15,NA,NA
Jaime Dugan,22,Columbia,SC,China,10,3,0,3,21,7,Female,Student,15,NA,NA
Jean-Robert Bellande,36,Las Vegas,NV,China,9,7,1,8,24,12,Male,Poker Player,15,NA,NA
Frosti Zernow,20,Chicago,IL,China,8,4,2,6,27,7,Male,Student/Athlete,15,NA,NA
James Clement,30,Lafayette,LA,China,7,6,1,7,30,9,Male,Gravedigger,15,1,0
Erik Huffman,26,Nashville,TN,China,6,3,2,5,33,5,Male,Musician,15,NA,NA
Peih-Gee Law,29,Marina del Rey,CA,China,5,3,3,6,36,8,Female,Jeweler,15,NA,NA
Denise Martin,40,Douglas,MA,China,4,7,2,9,38,3,Female,School Lunch Lady,15,NA,NA
Amanda Kimmel,22,Los Angeles,CA,China,3,7,5,12,39,0,Female,"Hiking Guide;
Aspiring Designer",15,NA,NA
Courtney Yates,26,New York City,NY,China,2,7,2,9,39,0,Female,Waitress,15,NA,NA
Todd Herzog,22,Pleasant Grove,UT,China,1,7,1,8,39,5,Male,Flight Attendant,15,1,0
Jon Dalton,33,Los Angeles,CA,Micronesia,20,0,0,0,3,9,Male,Art Consultant,16,NA,NA
Mary Sartain,29,Emeryville,CA,Micronesia,19,1,0,1,6,6,Female,Real Estate Manager,16,NA,NA
Yau-Man Chan,55,Martinez,CA,Micronesia,18,2,1,3,8,6,Male,Computer Engineer,16,NA,NA
Mikey Bortone,34,Los Angeles,CA,Micronesia,17,2,0,2,11,6,Male,Aspiring Writer,16,NA,NA
Joel Anderson,32,Avondale,AZ,Micronesia,16,2,0,2,14,6,Male,Firefighter,16,NA,NA
Jonathan Penner,45,Los Angeles,CA,Micronesia,15,7,0,7,15,0,Male,Writer,16,NA,NA
Chet Welch,48,Ford City,PA,Micronesia,14,2,0,2,17,12,Male,Pageant Coach,16,NA,NA
Kathy Sleckman,45,Glen Ellyn,IL,Micronesia,13,6,1,7,19,0,Female,Golf Course Vendor,16,NA,NA
Tracy Hughes-Wolf,43,Fredericksburg,VA,Micronesia,12,3,0,3,20,7,Female,Residential Builder,16,NA,NA
Ami Cusack,34,Golden,CO,Micronesia,11,5,0,5,21,4,Female,"Coffee Barista;
Nanny",16,NA,NA
Eliza Orlins,25,Manhattan,NY,Micronesia,10,10,0,10,24,8,Female,"Pre-Law Student;
Law School Student",16,NA,NA
Ozzy Lusth,26,Venice,CA,Micronesia,9,5,1,6,27,9,Male,"Waiter;
Photographer",16,1,0
Jason Siska,22,Fox River Grove,IL,Micronesia,8,8,2,10,30,8,Male,Gymnastics Coach,16,1,0
James Clement,30,Lafayette,LA,Micronesia,7,10,0,10,31,3,Male,Gravedigger,16,NA,NA
Alexis Jones,24,Beverly Hills,CA,Micronesia,6,8,1,9,33,2,Female,Motivational Speaker,16,NA,NA
Erik Reichenbach,22,Ypsilanti,MI,Micronesia,5,3,5,8,36,7,Male,"Ice Cream Scooper;
Comic Book Artist",16,NA,NA
Natalie Bolton,32,West Hollywood,CA,Micronesia,4,8,0,8,37,3,Female,Personal Trainer,16,NA,NA
Cirie Fields,37,Norwalk,CT,Micronesia,3rd,5,0,5,38,3,Female,Nurse,16,NA,NA
Amanda Kimmel,23,Los Angeles,CA,Micronesia,2,5,3,8,39,4,Female,"Hiking Guide;
Aspiring Designer",16,1,1
Parvati Shallow,25,Los Angeles,CA,Micronesia,1,10,1,11,39,4,Female,"Boxer;
Charity Organizer",16,1,0
Michelle Chase,24,Los Angeles,CA,Gabon,18,0,0,0,3,8,Female,Music Producer,17,NA,NA
Gillian Larson,61,Temecula,CA,Gabon,17,0,0,0,6,8,Female,Retired Nurse,17,NA,NA
Paloma Soto-Castillo,23,Downey,CA,Gabon,16,3,0,3,9,7,Female,Student,17,NA,NA
Jacquie Berg,25,Santa Barbara,CA,Gabon,15,3,0,3,12,5,Female,Medical Sales,17,NA,NA
G.C. Brown,25,Portland,OR,Gabon,14,2,1,3,15,6,Male,Maintenance Man,17,NA,NA
Kelly Czarnecki,22,Buffalo Grove,IL,Gabon,13,3,0,3,18,8,Female,Retail Sales,17,NA,NA
Ace Gordon,27,Naples,FL,Gabon,12,3,0,3,21,5,Male,Jewelry Sales and Photographer,17,0,0
Dan Kay,32,Boston,MA,Gabon,11,8,0,8,21,4,Male,Lawyer,17,NA,NA
Marcus Lehman,28,Atlanta,GA,Gabon,10,9,2,11,24,3,Male,Doctor,17,NA,NA
Charlie Herschel,29,New York City,NY,Gabon,9,11,0,11,27,5,Male,Lawyer,17,NA,NA
Randy Bailey,49,Eagle Rock,MO,Gabon,8,10,0,10,30,5,Male,Wedding Videographer,17,1,0
Corinne Kaplan,29,Los Angeles,CA,Gabon,7,11,0,11,33,4,Female,"Pharmaceutical Sales;
Clinical Consultant",17,NA,NA
Crystal Cox,29,Durham,NC,Gabon,6,2,0,2,36,11,Female,Former Olympic Athlete,17,NA,NA
Ken Hoang,22,Westminister,CA,Gabon,5,2,1,3,37,7,Male,Professional Gamer,17,NA,NA
Matty Whitmore,29,Pacific Palisades,CA,Gabon,4,4,0,4,38,7,Male,Personal Trainer,17,0,1
Sugar Kiper,29,Brooklyn,NY,Gabon,3,5,0,5,39,0,Female,Pin-Up Model,17,1,0
Susie Smith,47,Charles City,IA,Gabon,2,8,2,10,39,7,Female,Hairdresser,17,NA,NA
Bob Crowley,57,Portland,ME,Gabon,1,9,5,14,39,2,Male,Physics Teacher,17,NA,NA
Carolina Eastwood,26,West Hollywood,CA,Tocantins,16,0,NA,0,3,7,Female,Bartender,18,NA,NA
Candace Smith,31,Los Angeles,CA,Tocantins,15,1,NA,1,6,7,Female,Attorney,18,NA,NA
Jerry Sims,49,Rock Hill,SC,Tocantins,14,1,NA,1,9,6,Male,Sgt - U.S. Army,18,NA,NA
Sandy Burgin,53,Louisville,KY,Tocantins,13,4,NA,4,12,6,Female,Bus Driver,18,NA,NA
Spencer Duhm,18,Gainesville,FL,Tocantins,12,5,NA,5,15,5,Male,Student,18,NA,NA
Sydney Wheeler,24,San Diego,CA,Tocantins,11,5,NA,5,18,4,Female,Model,18,NA,NA
Joe Dowdle,26,Austin,TX,Tocantins,10,5,0,5,20,1,Male,Real Estate Sales,18,NA,NA
Brendan Synnott,30,Vail,CO,Tocantins,9,5,1,6,24,4,Male,Entrepreneur,18,1,0
Tyson Apostol,29,Heber City,UT,Tocantins,8,5,3,8,27,5,Male,"Former Professional Cyclist/Missionary
Shop Manager",18,NA,NA
Sierra Reed,23,Los Angeles,CA,Tocantins,7,5,0,5,30,11,Female,Model,18,NA,NA
Debbie Beebe,46,Auburn,AL,Tocantins,6,5,3,8,33,6,Female,Middle School Principal,18,NA,NA
Coach Wade,37,Bolivar,MO,Tocantins,5,5,1,6,36,6,Male,Soccer Coach/Musician,18,NA,NA
Taj Johnson-George,37,Nashville,TN,Tocantins,4,5,0,5,37,7,Female,Former Pop Star,18,1,0
Erinn Lobdell,26,Milwaukee,WI,Tocantins,3rd,5,1,6,38,5,Female,Hairstylist,18,NA,NA
Stephen Fishbach,29,New York City,NY,Tocantins,2,5,2,7,39,1,Male,Corporate Consultant,18,0,0
J.T. Thomas,24,Mobile,AL,Tocantins,1,5,6,11,39,0,Male,Cattle Rancher,18,NA,NA
Marisa Calihan,26,Cincinnati,OH,Samoa,20,1,NA,1,3,7,Female,Student,19,NA,NA
Mike Borassi,62,Marina del Rey,CA,Samoa,19,1,NA,1,5,0,Male,Personal Chef,19,NA,NA
Betsy Bolan,48,Campton,NH,Samoa,18,1,NA,1,6,7,Female,Police Officer,19,NA,NA
Ben Browning,28,Los Angeles,CA,Samoa,17,1,NA,1,8,7,Male,Bar Manager,19,NA,NA
Yasmin Giles,33,Los Angeles,CA,Samoa,16,4,NA,4,11,8,Female,Hairstylist,19,NA,NA
Ashley Trainer,22,Maple Grove,MN,Samoa,15,2,NA,2,14,9,Female,Spa Sales,19,NA,NA
Russell Swan,42,Glenside,PA,Samoa,14,6,NA,6,15,0,Male,Attorney,19,NA,NA
Liz Kim,33,New York City,NY,Samoa,13,2,NA,2,18,5,Female,Urban Planner,19,NA,NA
Erik Cardona,28,Los Angeles,CA,Samoa,12,8,0,8,21,10,Male,Bartender,19,1,0
Kelly Sharbaugh,25,San Diego,CA,Samoa,11,8,1,9,24,4,Female,Hairstylist,19,NA,NA
Laura Morett,39,Salem,OR,Samoa,10,8,3,11,27,10,Female,"Office Manager;
Fitness Instructor",19,NA,NA
John Fincher,25,Santa Monica,CA,Samoa,9,8,2,10,30,7,Male,Rocket Scientist,19,NA,NA
Dave Ball,38,Los Angeles,CA,Samoa,8,8,2,10,31,8,Male,Fitness Instructor,19,NA,NA
Monica Padilla,25,San Diego,CA,Samoa,7,8,1,9,33,7,Female,Law Student,19,NA,NA
Shambo Waters,45,Renton,WA,Samoa,6,8,2,10,36,6,Female,Sales,19,NA,NA
Jaison Robinson,28,Chicago,IL,Samoa,5,2,3,5,37,7,Male,Law Student,19,NA,NA
Brett Clouser,23,Los Angeles,CA,Samoa,4,8,4,12,38,3,Male,T-Shirt Designer,19,NA,NA
Mick Trimming,33,Los Angeles,CA,Samoa,3,2,1,3,39,4,Male,Doctor,19,NA,NA
Russell Hantz,36,Dayton,TX,Samoa,2,2,3,5,39,9,Male,Oil Company Owner,19,3,2
Natalie White,26,Van Buren,AR,Samoa,1,2,1,3,39,8,Female,Pharmaceutical Sales,19,NA,NA
Sugar Kiper,30,Los Angeles,CA,Heroes vs. Villains,20,1,NA,1,3,9,Female,Pin-Up Model,20,NA,NA
Stephenie LaGrossa,29,Philadelphia,PA,Heroes vs. Villains,19,1,NA,1,6,6,Female,Pharmaceutical Sales Respresentative,20,NA,NA
Randy Bailey,50,Austin,TX,Heroes vs. Villains,18,2,NA,2,8,9,Male,Wedding Videographer,20,NA,NA
Cirie Fields,39,Norwalk,CT,Heroes vs. Villains,17,2,NA,2,11,3,Female,Nurse,20,NA,NA
Tom Westman,45,New York City,NY,Heroes vs. Villains,16,2,NA,2,14,8,Male,"NYC Firefighter;
Motivational Speaker",20,1,1
Tyson Apostol,30,Lindon,UT,Heroes vs. Villains,15,7,0,7,15,3,Male,"Former Professional Cyclist/Missionary
Shop Manager",20,NA,NA
James Clement,32,Lafayette,LA,Heroes vs. Villains,14,2,0,2,15,7,Male,Gravedigger,20,NA,NA
Rob Mariano,33,Pensacola,FL,Heroes vs. Villains,13,7,1,8,18,5,Male,"Construction Worker
Aspiring poker player",20,NA,NA
Coach Wade,38,Susanville,CA,Heroes vs. Villains,12,7,0,7,21,4,Male,Soccer Coach/Musician,20,NA,NA
Courtney Yates,28,New York City,NY,Heroes vs. Villains,11,8,0,8,24,9,Female,Waitress,20,NA,NA
J.T. Thomas,25,Mobile,AL,Heroes vs. Villains,10,7,0,7,27,5,Male,Cattle Rancher,20,1,0
Amanda Kimmel,25,Los Angeles,CA,Heroes vs. Villains,9,7,1,8,30,10,Female,"Hiking Guide;
Aspiring Designer",20,NA,NA
Candice Woodcock,26,Washington,D.C.,Heroes vs. Villains,8,7,1,8,31,5,Female,"Pre-Med Student;
Physician/Anesthesiology Resident",20,NA,NA
Danielle DiLorenzo,28,Los Angeles,CA,Heroes vs. Villains,7,8,2,10,33,4,Female,Medical Sales Rep.,20,0,0
Rupert Boneham,45,Indianapolis,IN,Heroes vs. Villains,6,7,0,7,36,10,Male,Troubled Teens Mentor,20,NA,NA
Colby Donaldson,35,Dallas,TX,Heroes vs. Villains,5,7,1,8,37,7,Male,Auto Customizer,20,NA,NA
Jerri Manthey,38,Los Angeles,CA,Heroes vs. Villains,4,8,2,10,38,9,Female,Aspiring Actress,20,0,0
Russell Hantz,36,Dayton,TX,Heroes vs. Villains,3,8,2,10,39,5,Male,Oil Company Owner,20,3,2
Parvati Shallow,26,Los Angeles,CA,Heroes vs. Villains,2,8,3,11,39,8,Female,"Boxer;
Charity Organizer",20,1,2
Sandra Diaz-Twine,35,Fayatteville,NC,Heroes vs. Villains,1,8,0,8,39,3,Female,Office Assistant,20,1,1
Wendy DeSmidt-Kohlhoff,48,Fromberg,MT,Nicaragua,20,0,NA,0,3,9,Female,Goat Rancher,21,NA,NA
Shannon Elkins,30,Lafayette,LA,Nicaragua,19,2,NA,2,6,7,Male,Pest Control Company Owner,21,NA,NA
Jimmy Johnson,67,Islamorada,FL,Nicaragua,18,1,NA,1,8,8,Male,Former NFL Coach,21,NA,NA
Jimmy Tarantino,48,Gloucester,MA,Nicaragua,17,1,NA,1,11,5,Male,Commercial Fisherman,21,NA,NA
Tyrone Davis,42,Inglewood,CA,Nicaragua,16,2,NA,2,14,6,Male,Fire Captain,21,NA,NA
Kelly Bruno,26,Durham,NC,Nicaragua,15,6,0,6,15,8,Female,Medical Student,21,NA,NA
Yve Rojas,41,Kansas City,MO,Nicaragua,14,2,0,2,15,7,Female,Homemaker,21,NA,NA
Jill Behm,43,Erie,PA,Nicaragua,13,3,1,4,18,3,Female,ER Doctor,21,NA,NA
Alina Wilson,23,Downey,CA,Nicaragua,12,7,0,7,22,10,Female,Art Student,21,NA,NA
Marty Piombo,48,Mill Valley,CA,Nicaragua,11,3,1,4,24,15,Male,Technology Executive,21,1,0
Brenda Lowe,27,Miami,FL,Nicaragua,10,6,1,7,27,13,Female,Paddleboard Company Owner,21,NA,NA
NaOnka Mixon,27,Los Angeles,CA,Nicaragua,9,7,2,9,28,3,Female,PE Teacher,21,1,0
Kelly Shinn,20,Mesa,AZ,Nicaragua,8,6,1,7,28,0,Female,Nursing Student,21,NA,NA
Benry Henry,24,Los Angeles,CA,Nicaragua,7,7,2,9,32,5,Male,Club Promoter,21,NA,NA
Jane Bright,56,Jackson Springs,NC,Nicaragua,6,3,3,6,36,11,Female,Dog Trainer,21,NA,NA
Dan Lembo,63,Watermill,NY,Nicaragua,5,4,2,6,37,9,Male,Real Estate Executive,21,NA,NA
Holly Hoffman,44,Eureka,SD,Nicaragua,4,4,2,6,38,4,Female,Swim Coach,21,NA,NA
Sash Lenahan,30,New York City,NY,Nicaragua,3,6,2,8,39,2,Male,Real Estate Broker,21,0,1
Chase Rice,24,Fairview,NC,Nicaragua,2,7,4,11,39,1,Male,Pro Racecar Jackman,21,0,1
Fabio Birza,21,Venice,CA,Nicaragua,1,6,6,12,39,2,Male,Student,21,NA,NA
Francesca Hogi,36,Washington,D.C.,Redemption Island,18,0,0,0,6,4,Female,Attorney,22,NA,NA
Russell Hantz,37,Dayton,TX,Redemption Island,17,2,0,2,10,8,Male,Oil Company Owner,22,NA,NA
Kristina Kell,46,Malibu,CA,Redemption Island,16,1,0,1,12,9,Female,Law Student,22,1,1
Krista Klumpp,25,Columbia,SC,Redemption Island,15,3,0,3,14,6,Female,Pharmaceutical Representative,22,NA,NA
Stephanie Valencia,26,Long Beach,CA,Redemption Island,14,3,0,3,17,8,Female,Waitress,22,NA,NA
Sarita White,36,Santa Monica,CA,Redemption Island,13,3,0,3,19,6,Female,Visual Effects Producer,22,NA,NA
David Murphy,31,West Hollywood,CA,Redemption Island,12,3,0,3,25,8,Male,Defense Attorney,22,NA,NA
Julie Wolfe,50,Oceanside,CA,Redemption Island,11,3,0,3,28,6,Female,Firefighter,22,NA,NA
Steve Wright,51,Huntington Beach,CA,Redemption Island,10,3,0,3,31,9,Male,Ex-NFL Player,22,NA,NA
Ralph Kiser,45,Lebanon,VA,Redemption Island,9,3,1,4,33,10,Male,Farmer,22,1,1
Grant Mattos,29,West Hollywood,CA,Redemption Island,8,4,2,6,36,10,Male,Ex-NFL Player,22,NA,NA
Matt Elrod,22,Nashville,TN,Redemption Island,7,0,10,10,36,10,Male,Pre-Med Student,22,NA,NA
Mike Chiesl,31,Del Mar,CA,Redemption Island,6,3,4,7,36,6,Male,Iraq War Veteran,22,NA,NA
Andrea Boehlke,21,Random Lake,WI,Redemption Island,5,4,3,7,37,9,Female,"Student;
Entertainment Host/Writer",22,NA,NA
Ashley Underwood,25,Benton,ME,Redemption Island,4,4,2,6,38,3,Female,Nurse,22,NA,NA
Natalie Tenerelli,19,Acton,CA,Redemption Island,3,4,1,5,39,1,Female,Professional Dancer,22,NA,NA
Phillip Sheppard,52,Santa Monica,CA,Redemption Island,2,4,0,4,39,17,Male,"Technology Executive
Software Sales",22,NA,NA
Rob Mariano,34,Pensacola,FL,Redemption Island,1,4,4,8,39,7,Male,"Construction Worker
Aspiring poker player",22,1,1
Semhar Tadesse,24,Los Angeles,CA,South Pacific,18,1,0,1,6,8,Female,Spoken Word Artist,23,NA,NA
Mark Caruso,48,Forest Hills,NY,South Pacific,17,2,0,2,9,6,Male,Retired NYPD Detective,23,NA,NA
Stacey Powell,44,Grand Prairie,TX,South Pacific,16,2,0,2,12,10,Female,Mortician,23,NA,NA
Elyse Umemoto,27,Las Vegas,NV,South Pacific,15,3,0,3,15,3,Female,Dance Team Manager,23,NA,NA
Mikayla Wingle,22,Tampa,FL,South Pacific,14,3,0,3,17,4,Female,Lingerie Football Player,23,NA,NA
Christine Shields Markoski,39,Merrick,NY,South Pacific,13,1,5,6,19,4,Female,Teacher,23,NA,NA
Jim Rice,35,Denver,CO,South Pacific,12,4,1,5,25,8,Male,Medical Marijuana Dispenser,23,NA,NA
Keith Tollefson,26,Edina,MN,South Pacific,11,4,0,4,25,12,Male,Water Treatment Tech,23,NA,NA
Dawn Meehan,41,South Jordan,UT,South Pacific,10,4,1,5,28,9,Female,English Professor,23,NA,NA
Whitney Duncan,27,Nashville,TN,South Pacific,9,4,1,5,28,7,Female,Country Music Singer,23,0,0
John Cochran,24,Washington,D.C.,South Pacific,8,4,0,4,31,13,Male,Harvard Law Student,23,NA,NA
Edna Ma,35,Los Angeles,CA,South Pacific,7,4,0,4,33,15,Female,Anesthesiologist,23,NA,NA
Brandon Hantz,19,Katy,TX,South Pacific,6,4,1,5,36,4,Male,"Oil Tanker Crewman
Chemical Disposal",23,NA,NA
Rick Nelson,51,Aurora,UT,South Pacific,5,4,0,4,37,15,Male,Rancher,23,NA,NA
Ozzy Lusth,30,Venice,CA,South Pacific,4,4,8,12,38,17,Male,"Waiter;
Photographer",23,1,1
Albert Destrade,26,Plantation,FL,South Pacific,3,4,1,5,39,1,Male,Baseball/Dating Coach ­­­­,23,NA,NA
Coach Wade,39,Susanville,CA,South Pacific,2,4,1,5,39,0,Male,Soccer Coach/Musician,23,1,0
Sophie Clarke,22,Willsboro,NY,South Pacific,1,4,3,7,39,5,Female,Medical Student,23,NA,NA
Kourtney Moon,29,Austin,TX,One World,18,0,NA,0,3,NA,Female,Motorcycle Repair,24,NA,NA
Nina Acosta,51,Clovis,CA,One World,17,0,NA,0,5,6,Female,Retired LAPD Officer,24,NA,NA
Matt Quinlan,33,San Francisco,CA,One World,16,3,NA,3,8,7,Male,Attorney,24,NA,NA
Bill Posley,28,Venice,CA,One World,15,4,NA,4,11,8,Male,Stand-Up Comedian,24,NA,NA
Monica Culpepper,41,Tampa,FL,One World,14,3,NA,3,14,5,Female,"Ex-NFL Player's Wife;
Homemaker",24,NA,NA
Colton Cumbie,21,Monroeville,AL,One World,13,4,NA,4,16,1,Male,"Student;
Student Teacher",24,0,0
Jonas Otsuji,37,Lehi,UT,One World,12,4,0,4,20,10,Male,Sushi Chef,24,NA,NA
Michael Jefferson,30,Seattle,WA,One World,11,7,1,8,22,9,Male,Banker,24,NA,NA
Jay Byars,25,Gaffney,SC,One World,10,7,3,10,25,5,Male,Model,24,NA,NA
Leif Manson,27,San Diego,CA,One World,9,4,1,5,27,5,Male,Phlebotomist,24,NA,NA
Troyzan Robertson,50,Miami,FL,One World,8,7,4,11,30,6,Male,Swimsuit Photographer,24,1,1
Kat Edorsson,22,Orlando,FL,One World,7,6,2,8,33,7,Female,"Timeshare Representative;
Full Time Student/Sales",24,NA,NA
Tarzan Smith,64,Houston,TX,One World,6,4,1,5,36,12,Male,Plastic Surgeon,24,NA,NA
Alicia Rosa,25,Chicago,IL,One World,5,3,3,6,37,5,Female,Special Education Teacher,24,NA,NA
Christina Cha,29,West Hollywood,CA,One World,4,3,2,5,38,9,Female,Career Consultant,24,NA,NA
Chelsea Meissner,26,Charleston,SC,One World,3,6,3,9,39,4,Female,Medical Sales,24,NA,NA
Sabrina Thompson,33,Brooklyn,NY,One World,2,6,2,8,39,2,Female,High-School Teacher,24,1,0
Kim Spradlin,29,San Antonio,TX,One World,1,6,6,12,39,3,Female,Bridal Shop Owner,24,1,0
Zane Knight,28,Danville,VA,Philippines,18,0,NA,0,3,5,Male,Tire Repair,25,NA,NA
Roxy Morris,28,Brooklyn,NY,Philippines,17,0,NA,0,6,4,Female,Seminary Student,25,NA,NA
Angie Layton,20,Provo,UT,Philippines,16,0,NA,0,8,4,Female,Model/Student,25,NA,NA
Russell Swan,45,Glenside,PA,Philippines,15,0,NA,0,10,4,Male,Attorney,25,NA,NA
Dana Lambert,32,Winston-Salem,NC,Philippines,14,4,NA,4,12,NA,Female,Cosmetologist,25,NA,NA
Sarah Dawson,28,Silver Spring,MD,Philippines,13,4,NA,4,13,5,Female,Insurance Sales,25,NA,NA
Katie Hanson,22,Newark,DE,Philippines,12,5,NA,5,16,4,Female,Former Miss Delaware,25,NA,NA
RC Saint-Amour,27,New York City,NY,Philippines,11,7,0,7,19,4,Female,Investment Banker,25,NA,NA
Jeff Kent,44,Austin,TX,Philippines,10,5,1,6,22,5,Male,Retired Baseball Player,25,NA,NA
Artis Silvester,53,Terrytown,LA,Philippines,9,7,0,7,25,5,Male,Computer Engineer,25,NA,NA
Pete Yurkowski,24,Holmdel,NJ,Philippines,8,7,1,8,27,9,Male,Engineering Graduate,25,NA,NA
Jonathan Penner,50,Los Angeles,CA,Philippines,7,5,3,8,30,14,Male,Writer,25,1,1
Carter Williams,24,Shawnee,KS,Philippines,6,5,4,9,33,5,Male,Track Coach,25,NA,NA
Abi-Maria Gomes,32,Los Angeles,CA,Philippines,5,7,2,9,36,9,Female,Business Student,25,1,1
Malcolm Freberg,25,Hermosa Beach,CA,Philippines,4,3,7,10,38,6,Male,Bartender,25,1,0
Lisa Whelchel,49,Dallas,TX,Philippines,2,7,1,8,39,0,Female,Former TV Teen Star,25,NA,NA
Michael Skupin,50,White Lake,MI,Philippines,2,7,3,10,39,0,Male,Software Publisher; Part-Time Professional Speaker,25,NA,NA
Denise Stapley,41,Cedar Rapids,IA,Philippines,1,1,3,4,39,6,Female,Sex Therapist,25,0,0
Francesca Hogi,38,Brooklyn,NY,Caramoan,20,1,NA,1,3,6,Female,Attorney,26,NA,NA
Allie Pohevitz,25,Oceanside,NY,Caramoan,19,1,NA,1,5,6,Female,Bartender,26,NA,NA
Hope Driskill,23,Jefferson City,MO,Caramoan,18,1,NA,1,7,8,Female,Pre-Law Student,26,NA,NA
Shamar Thomas,27,Brooklyn,NY,Caramoan,17,1,NA,1,10,8,Male,Iraq War Veteran,26,NA,NA
Laura Alexander,23,Washington,D.C.,Caramoan,16,1,NA,1,10,6,Female,Administrative Officer,26,NA,NA
Brandon Hantz,21,Katy,TX,Caramoan,15,6,NA,6,13,8,Male,"Oil Tanker Crewman
Chemical Disposal",26,NA,NA
Matt Bischoff,38,Cincinnati,OH,Caramoan,14,1,NA,1,16,4,Male,BMX Bike Sales,26,NA,NA
Julia Landauer,21,Stanford,CA,Caramoan,13,1,NA,1,19,9,Female,Racecar Driver,26,NA,NA
Corinne Kaplan,33,Los Angeles,CA,Caramoan,12,6,0,6,22,7,Female,"Pharmaceutical Sales;
Clinical Consultant",26,NA,NA
Michael Snow,44,New York City,NY,Caramoan,11,1,1,2,25,10,Male,Event Planner,26,NA,NA
Phillip Sheppard,54,Santa Monica,CA,Caramoan,10,6,1,7,28,5,Male,"Technology Executive
Software Sales",26,NA,NA
Malcolm Freberg,25,Hermosa Beach,CA,Caramoan,9,9,0,9,30,11,Male,Bartender,26,2,3
Reynold Toepfer,30,San Francisco,CA,Caramoan,8,4,3,7,31,9,Male,Real Estate Sales,26,2,1
Andrea Boehlke,23,New York City,NY,Caramoan,7,9,1,10,33,13,Female,"Student;
Entertainment Host/Writer",26,0,0
